name,type,district,address,area,price,total
泰业城中城大厦,商业类,青羊,青龙巷36号,待定,16000,0
华润金悦湾,底商,青羊,清波路77号,待定,25000,0
成都青羊万达广场,底商,青羊,日月大道与武青北路交汇处,待定,50000,0
天祥广场,底商,青羊,二环路西一段155号（仁和春天对面）,待定,22000,0
绿地新里城,住宅,青羊,光华北六路1号,待定,价格待定,0
万和中心,底商,青羊,日月大道1501号,待定,26000,0
天祥广场,住宅,青羊,二环路西一段155号（仁和春天对面）,113-220㎡,18000,0
建发金沙里,商业类,青羊,蜀辉路588号,待定,13000,0
金沙城锦澜阁,商业类,青羊,百瑞二路338号,56-63㎡,15500,95
赛格广场,底商,青羊,太升南路222号,待定,36000,0
绿地新里城,商业,青羊,光华北六路1号,待定,46000,0
绿地新里城,底商,青羊,光华北六路1号,待定,50000,0
金阳易诚国际,商业类,青羊,培华路399号,50㎡,16000,0
融城云熙,住宅,青羊,顺城大街316号,待定,15000,0
泰丰国际,写字楼,青羊,人民中路二段29号,待定,14000,0
天祥广场,写字楼,青羊,二环路西一段155号（仁和春天对面）,待定,16000,0
海亮樾金沙,住宅,青羊,西三环蜀鑫路与清波路交汇处（华润金悦湾对面）,66-87㎡,140,0
星立方,底商,青羊,光华南三路89号,待定,50000,0
鼓楼国际,写字楼,青羊,大墙西街33号,待定,13413,0
东原时光道,商业,青羊,光华大道东4路78号,待定,20000,0
远洋万和公馆,住宅,青羊,大安东路1号,110-169㎡,21500,0
西城壹号,写字楼,青羊,清江中路1号,待定,价格待定,0
太行朗诗金沙城,商业,青羊,百仁生态区内（三环路西四段）,待定,20000,0
金地自在湾,商业,青羊,苏坡街道办事处万家湾社区6、 8组,待定,价格待定,0
绿城金沙凤起朝鸣,住宅,青羊,成都市青羊区金沙街道办事处龙嘴村3、4、6、7组,待定,价格待定,0
西派浣花,住宅,青羊,清江东路与鸣翠路交汇处,待定,价格待定,0
西派浣花,别墅,青羊,清江东路与鸣翠路交汇处,待定,价格待定,0
佳兆业广场,住宅,青羊,光华大道一段西非物质文化遗产博览园对面（地铁四号线非遗博览园站）,65-89㎡,11000,0
紫御熙庭,住宅,青羊,武青北路（青羊万达旁 地铁4号线出口处）,待定,16000,0
恒大广场,住宅,青羊,提督街99号（近四川国际大厦E区）,219㎡,700,0
浣花香,写字楼,青羊,青羊上街336号,待定,价格待定,0
富力公馆,写字楼,青羊,天府广场旁顺城大街269号,待定,24000,0
港泰通航大厦,商业类,金牛,十二桥路29号,61-70㎡,32000,190
飞大壹号广场,底商,金牛,一环路北三段100号,待定,50000,0
北斗七星城,底商,金牛,天龙大道1333号（中铁产业园对面）,待定,30000,0
西宸原著御景,商业类,金牛,育仁西路18号,137㎡,16500,210
天悦汇,写字楼,金牛,洞子口路163号,待定,13000,0
北斗七星城,商业,金牛,天龙大道1333号（中铁产业园对面）,待定,30000,0
炎华置信花千集,商业,金牛,一环路北二段9号,待定,30000,0
炎华置信花千集,商业类,金牛,一环路北二段9号,39㎡,18500,66
炎华置信花千集,底商,金牛,一环路北二段北站西二路1号,待定,50000,0
龙湖上城天街广场,商业类,金牛,人民北路一段辅路龙湖上城,40-47㎡,18000,68
龙湖上城天街广场,底商,金牛,人民北路一段辅路龙湖上城,待定,40000,0
蓝光金悦金沙,商业,金牛,羊犀立交外侧（青房尙瑞天韵旁）,待定,27000,0
华侨城·漫街,底商,金牛,金丰路16号,待定,39000,0
华侨城创想中心,商业类,金牛,成都西三环路与交大路交汇处,40-131㎡,13000,59
中南樾府,住宅,金牛,聚霞路中南樾府,138-148㎡,19500,8
紫宸星座,商业类,金牛,花照壁西顺街388号,37㎡,20000,0
远洋朗基国宾御府,住宅,金牛,郫都区犀浦镇金樽三街151号（新里派克公馆对面）,141-149㎡,17000,250
北成星中心,住宅,金牛,人民北路一段8号,待定,13500,0
保利学府城,住宅,金牛,西三环金牛大道金周路交汇处,85-115㎡,价格待定,0
保利国宾首府,住宅,金牛,金科南路（地铁2号线金科北路A出口500米）,待定,11000,0
中铁九天,写字楼,金牛,沙湾路220号,待定,13000,0
泽瑞西园,别墅,金牛,金泉路12号,372㎡,875,0
龙湖紫宸,住宅,金牛,花照壁街225号,待定,23500,0
北星城,住宅,金牛,天龙大道中段（西部地理信息技术产业园旁）,待定,10800,0
炎华置信花千集,住宅,金牛,一环路北二段9号,待定,价格待定,0
中粮祥云里,住宅,金牛,西华街道侯家桥路288号,93-118㎡,12500,0
保利国宾首府,别墅,金牛,金科南路（地铁2号线金科北路A出口500米）,待定,196,0
保利学府城,别墅,金牛,西三环金牛大道金周路交汇处,118㎡,450,0
天悦汇,商业类,金牛,洞子口路163号,待定,7800,0
银海中心,商业,金牛,一环路北四段108号,待定,60000,0
中铁瑞景汇中心,底商,金牛,二环与蓉北商贸大道交界处（城北客运站中心对面）,待定,45000,0
西锦国际二期,底商,金牛,花牌坊北街99号,待定,24000,0
东原亲亲里,底商,金牛,金科西路58号,待定,50000,0
桔子国际,底商,金牛,西一环三段5号（地铁中医附院战D出口200米处）,待定,60000,0
华宇西城雅郡,商业,金牛,金科苑东街与金科苑南街交叉口西100米,待定,44000,0
金美国际,底商,金牛,长青路88号,待定,46000,0
华宇西城雅郡,住宅,金牛,金泉街道高家社区2组（金科路小学旁）,待定,11000,0
银海中心,商业类,金牛,一环路北四段108号,50-101㎡,19300,196
华霖金贸商厦,底商,金牛,商贸大道二段189号,待定,60000,0
东原亲亲里,商业,金牛,金科西路58号,待定,26000,0
银海中心,底商,金牛,一环路北四段108号,待定,60000,0
华宇西城雅郡,底商,金牛,金泉街道高家社区2组（金科路小学旁）,待定,30000,0
华霖金贸商厦,商业类,金牛,商贸大道二段189号,待定,9500,0
电建地产洺悦府,住宅,金牛,九里堤北路88号,待定,13000,0
中房北极星花园,底商,金牛,花圃路1号（第四人民医院对面）,待定,80000,0
碧桂园城市花园,底商,金牛,中铁产业园旁（九道堰北站附近）,待定,30000,0
中铁九天,底商,金牛,沙湾路220号,待定,50000,0
天悦城,底商,金牛,洞子口路163号,待定,45000,0
龙湖紫宸,底商,金牛,花照壁街225号,待定,70000,0
保利国宾首府,底商,金牛,金科南路（地铁2号线金科北路A出口500米）,待定,25000,0
保利学府城,底商,金牛,西三环金牛大道金周路交汇处,待定,50000,0
西门先生,底商,金牛,育仁西路8号,待定,35000,0
保利公园里,底商,金牛,北三环大天路保利城北中央生活区（保利城旁）,待定,25000,0
北成星中心,商业类,金牛,人民北路一段8号,待定,26500,0
华侨城创想中心,底商,金牛,北三环一段221号,待定,60000,0
保利堂悦,住宅,金牛,育仁西路,117-148㎡,16500,0
龙湖紫宸,商业类,金牛,花照壁街225号,待定,17000,0
华润龙湾御府,住宅,金牛,天回镇街道木龙湾社区9、10组,待定,9900,0
金美国际,写字楼,金牛,长青路88号,待定,11000,0
华侨城原岸,底商,金牛,三环路北一段393号,待定,28000,0
港泰通航大厦,写字楼,金牛,十二桥路29号,待定,19500,0
中粮祥云里,底商,金牛,西华街道侯家桥路288号,待定,35000,0
恒大曹家巷广场三期,商业类,金牛,一环内马鞍东路与府青路交汇处,41-160㎡,价格待定,0
金牛之心荷花池广场1期,商业类,金牛,北站东一路26号,53-106㎡,14500,84
现代福满苑A区,底商,金牛,站北北街118号,待定,35000,0
现代福满苑B区,底商,金牛,站北北街119号,待定,35000,0
碧桂园城市花园,商业,金牛,中铁产业园旁（九道堰北站附近）,待定,26000,0
华侨城原岸,住宅,金牛,三环路北一段393号,待定,12000,0
国宾壹公馆,商业类,金牛,迎宾大道166号（地铁2号线迎宾大道C出口旁）,42㎡,12800,0
瑞安城中汇,商业类,金牛,解放路一段139号（二环沙河畔入口处）,48㎡,93,0
蓝光金悦金沙,住宅,金牛,羊犀立交外侧（青房尙瑞天韵旁）,待定,价格待定,0
保利天汇,别墅,金牛,万石路旁,135-141㎡,21000,283
融信公馆,住宅,金牛,金牛区百寿路18号（百寿路与大庆路交汇处）,115-140㎡,28000,330
中南海棠集,住宅,金牛,天龙大道382号,112-136㎡,13800,6
银咖SPACE,商业类,金牛,金牛营门口路1-9号,37㎡,14000,60
保利天玺,住宅,金牛,金丰路保利天玺,119-135㎡,15000,5
保利天汇,住宅,金牛,万石路旁,114-135㎡,14000,6
天羽揽月轩,底商,金牛,花照壁上横街469号,待定,40000,0
蓝海天地,写字楼,金牛,振兴路22号,654㎡,8300,0
Class9玖霄,写字楼,金牛,一环内马鞍东路与红星路交汇处,待定,22000,0
京蓉时代,写字楼,金牛,二环北路三段108号,待定,价格待定,0
华侨城天屿,别墅,金牛,北三环路一段333号,待定,价格待定,0
人居花照云庭,住宅,金牛,一品天下大街808号,104-174㎡,13200,0
华润龙湾御府,别墅,金牛,金牛区聚业路天回镇街道（北星大道旁）,待定,11800,0
华侨城天澜,住宅,金牛,金丰路191号,待定,价格待定,0
电建地产洺悦玺,住宅,金牛,金粮路338号,待定,价格待定,0
乡林涵碧天下,住宅,金牛,凤林四路（凤凰小学对面）,待定,价格待定,0
保利两河院子,别墅,金牛,蜀西路土龙路两河森林公园内,待定,价格待定,0
北星城,别墅,金牛,"天龙大道,近天音路",待定,价格待定,0
西部国际珠宝中心,写字楼,金牛,成都市金牛区蜀汉西路52号（蜀西路与金周路交汇处）,待定,7500,0
国宾总部基地,写字楼,金牛,金科东路50号,待定,8000,0
首开龙湖铂金岛,商业,金牛,花照壁西顺街318号,待定,19000,0
西部北斗产业园,写字楼,金牛,成都市金牛区天龙大道1333号,待定,7800,0
北京城建龙樾熙城,商业,金牛,"蜀西路66号（中海国际购物公园对面）, 金水巷79号",待定,194,0
北星城,底商,金牛,天龙大道中段（西部地理信息技术产业园旁）,待定,35000,0
北星城,商业,金牛,天龙大道中段（西部地理信息技术产业园旁）,待定,价格待定,0
保利天玺,商业,金牛,金丰路保利天玺,待定,18000,0
港泰通航大厦,商业,金牛,十二桥路29号,待定,价格待定,0
龙湖上城,住宅,金牛,一环内侧与人民北路交汇处,待定,22500,0
金牛之心荷花池广场1期,底商,金牛,北站东一路26号,待定,150000,0
成都长虹天樾 ,住宅,金牛,沙西线成都长虹天樾,待定,价格待定,0
瑞升城北橡树林,底商,金牛,解放路一段20号,待定,50000,0
银咖SPACE,底商,金牛,金牛营门口路1-9号,待定,20000,0
远洋朗基国宾御府,商业,金牛,金樽三街151号,待定,44000,0
成都长虹天樾 ,别墅,金牛,沙西线成都长虹天樾,待定,价格待定,0
保利天和,住宅,金牛,天龙大道909号,131-149㎡,15000,5
佳乐云锦阁,住宅,金牛,王贾路168号,待定,价格待定,0
西部北斗星墅,商业类,金牛,成都市金牛区天龙大道1333号,323-385㎡,13000,420
中铁瑞景汇中心,住宅,金牛,二环与蓉北商贸大道交界处（城北客运站中心对面）,待定,10000,0
北京城建龙樾熙城,住宅,金牛,蜀西路66号（中海国际购物公园对面）,待定,价格待定,0
保利公园里,别墅,金牛,北三环大天路保利城北中央生活区（保利城旁）,待定,290,0
中铁瑞景汇中心,商业类,金牛,二环与蓉北商贸大道交界处（城北客运站中心对面）,31㎡,14000,44
万达SOHO公寓,写字楼,金牛,一环路北三1号,待定,价格待定,0
鞋都风尚中心,商业,武侯,成双大道中段鞋都南二路139号,待定,20000,0
亿通新天地,底商,武侯,沙堰街40号,待定,25000,0
双楠港汇广场,底商,武侯,武阳大道二段261号,待定,50000,0
西派城,底商,武侯,簇锦街办铁佛村3、8组(武侯大道铁佛段与金履路交汇处),待定,36000,0
丽都首府,底商,武侯,丽都路董家湾南街6号,待定,25000,0
锦外中心,商业类,武侯,一环路南四段19号,41-71㎡,20000,116
世纪百合锦寓,商业类,武侯,武侯大道铁佛段289号,55-113㎡,10000,53
营盛大厦,底商,武侯,红牌楼北街31号,待定,50000,0
龙湖天宸原著,住宅,武侯,武侯大道与智谷大道交汇处,147-304㎡,25000,367
龙湖天宸原著,商业类,武侯,武侯大道与智谷大道交汇处,38㎡,16500,60
